vre,r,h,value
Windoffshore_Shallow,219,0,1.0
Windoffshore_Shallow,300,0,1.0
Windoffshore_Shallow,381,0,1.0
Windoffshore_Shallow,462,0,1.0
Windoffshore_Shallow,927,0,1.0
Windoffshore_Shallow,928,0,1.0
Windoffshore_Shallow,930,0,1.0
Windoffshore_Shallow,931,0,1.0
Windoffshore_Shallow,943,0,1.0
Windoffshore_Shallow,1007,0,1.0
Windoffshore_Shallow,1010,0,1.0
Windoffshore_Shallow,1011,0,0.998
Windoffshore_Shallow,1012,0,0.978
Windoffshore_Shallow,1084,0,1.0
Windoffshore_Shallow,1085,0,1.0
Windoffshore_Shallow,1093,0,0.944
Windoffshore_Shallow,1094,0,0.972
Windoffshore_Shallow,1095,0,0.982
Windoffshore_Shallow,1096,0,0.987
Windoffshore_Shallow,1164,0,1.0
Windoffshore_Shallow,1173,0,0.403
Windoffshore_Shallow,1174,0,0.277
Windoffshore_Shallow,1175,0,0.277
Windoffshore_Shallow,1255,0,0.349
Windoffshore_Shallow,1256,0,0.795
Windoffshore_Shallow,1257,0,0.997
Windoffshore_Shallow,1335,0,0.851
Windoffshore_Shallow,1336,0,0.995
Windoffshore_Shallow,1337,0,1.0
Windoffshore_Shallow,1405,0,1.0
Windoffshore_Shallow,1406,0,1.0
Windoffshore_Shallow,1415,0,0.922
Windoffshore_Shallow,1416,0,0.988
Windoffshore_Shallow,1417,0,0.999
Windoffshore_Shallow,1418,0,1.0
Windoffshore_Shallow,1485,0,0.999
Windoffshore_Shallow,1486,0,0.998
Windoffshore_Shallow,1497,0,0.994
Windoffshore_Shallow,1498,0,0.999
Windoffshore_Shallow,1504,0,0.998
Windoffshore_Shallow,1505,0,0.998
Windoffshore_Shallow,1506,0,0.993
Windoffshore_Shallow,1567,0,0.326
Windoffshore_Shallow,1568,0,0.455
Windoffshore_Shallow,1577,0,0.841
Windoffshore_Shallow,1581,0,0.997
Windoffshore_Shallow,1582,0,0.998
Windoffshore_Shallow,1583,0,0.998
Windoffshore_Shallow,1584,0,0.997
Windoffshore_Shallow,1585,0,0.992
Windoffshore_Shallow,1586,0,0.978
Windoffshore_Shallow,1648,0,0.513
Windoffshore_Shallow,1649,0,0.867
Windoffshore_Shallow,1651,0,1.0
Windoffshore_Shallow,1652,0,1.0
Windoffshore_Shallow,1660,0,0.971
Windoffshore_Shallow,1661,0,0.993
Windoffshore_Shallow,1662,0,0.997
Windoffshore_Shallow,1663,0,0.997
Windoffshore_Shallow,1664,0,0.991
Windoffshore_Shallow,1665,0,0.975
Windoffshore_Shallow,1666,0,0.943
Windoffshore_Shallow,1728,0,0.99
Windoffshore_Shallow,1729,0,1.0
Windoffshore_Shallow,1730,0,1.0
Windoffshore_Shallow,1731,0,1.0
Windoffshore_Shallow,1732,0,1.0
Windoffshore_Shallow,1733,0,0.996
Windoffshore_Shallow,1740,0,0.914
Windoffshore_Shallow,1741,0,0.989
Windoffshore_Shallow,1742,0,0.996
Windoffshore_Shallow,1743,0,0.99
Windoffshore_Shallow,1744,0,0.973
Windoffshore_Shallow,1745,0,0.933
Windoffshore_Shallow,1809,0,1.0
Windoffshore_Shallow,1810,0,1.0
Windoffshore_Shallow,1811,0,0.999
Windoffshore_Shallow,1812,0,0.975
Windoffshore_Shallow,1813,0,0.775
Windoffshore_Shallow,1820,0,0.708
Windoffshore_Shallow,1821,0,0.92
Windoffshore_Shallow,1822,0,0.964
Windoffshore_Shallow,1823,0,0.941
Windoffshore_Shallow,1824,0,0.883
Windoffshore_Shallow,1825,0,0.772
Windoffshore_Shallow,1889,0,0.99
Windoffshore_Shallow,1890,0,0.981
Windoffshore_Shallow,1892,0,0.483
Windoffshore_Shallow,1893,0,0.263
Windoffshore_Shallow,1900,0,0.2
Windoffshore_Shallow,1901,0,0.295
Windoffshore_Shallow,1902,0,0.388
Windoffshore_Shallow,1903,0,0.551
Windoffshore_Shallow,1904,0,0.594
Windoffshore_Shallow,1905,0,0.569
Windoffshore_Shallow,1906,0,0.499
Windoffshore_Shallow,1970,0,0.78
Windoffshore_Shallow,1971,0,0.524
Windoffshore_Shallow,1983,0,0.196
Windoffshore_Shallow,1984,0,0.418
Windoffshore_Shallow,1985,0,0.522
Windoffshore_Shallow,1986,0,0.553
Windoffshore_Shallow,2049,0,0.632
Windoffshore_Shallow,2050,0,0.213
Windoffshore_Shallow,2051,0,0.115
Windoffshore_Shallow,2064,0,0.44
Windoffshore_Shallow,2065,0,0.602
Windoffshore_Shallow,2066,0,0.585
Windoffshore_Shallow,2127,0,0.716
Windoffshore_Shallow,2129,0,0.764
Windoffshore_Shallow,2142,0,0.084
Windoffshore_Shallow,2143,0,0.154
Windoffshore_Shallow,2144,0,0.243
Windoffshore_Shallow,2206,0,0.34
Windoffshore_Shallow,2209,0,0.66
Windoffshore_Shallow,2210,0,0.667
